operating_point,stable,id_rms_a,iq_rms_a,psi_r_rms_wb,omega_s_final_rad_s
5000rpm_+220Nm,True,8.071765478234738e-12,1.4779288903810084e-12,1.1379786002407855e-15,2119.5251184268977
5000rpm_-220Nm,True,7.275957614183426e-12,2.8421709430404007e-13,1.0269562977782698e-15,2069.2650863594836
1000rpm_-220Nm,True,0.002415308158456412,0.004669109197355726,1.3707131053485634e-06,393.7493096879471
