operating_point,case,stable,psi_s_rms_wb,psi_r_rms_wb,is_rms_a,ir_rms_a,psi_s_rel_pct,psi_r_rel_pct,is_rel_pct,ir_rel_pct,psi_r_conv_time_ms,is_conv_time_ms,max_abs_flux_wb
5000rpm_+220Nm,nominal,True,1.6881786560134227e-16,2.2295192807359225e-16,2.0146841932699737e-13,1.1460086147251022e-12,1.2036509458564398e-13,2.0583388397029895e-13,2.5265771425228857e-14,3.385406434373836e-13,2.76,3.6499999999999995,0.19457461291099973
5000rpm_+220Nm,rs_-20pct,True,0.0005588158267313636,0.0007098190968328285,0.10123718125413977,3.5479636194694106,0.3984289198354883,0.6553198390334816,0.012695962423520151,1.0480984795351846,2.6899999999999995,3.6499999999999995,0.19476204946787917
5000rpm_+220Nm,rs_-10pct,True,0.0002794079133659836,0.00035490954841674733,0.050618590626587995,1.77398180973588,0.19921445991795927,0.32765991951704826,0.006347981211699641,0.5240492397679393,2.7099999999999995,3.6499999999999995,0.19466830746583083
5000rpm_+220Nm,rs_-5pct,True,0.0001397039566826661,0.0001774547742078453,0.025309295312040504,0.8869909048642824,0.09960722995874743,0.16382995975803635,0.0031739906056926226,0.26202461988288916,2.73,3.6499999999999995,0.19462145425322913
5000rpm_+220Nm,rs_+5pct,True,0.0001397039566824902,0.00017745477420785588,0.025309295314406198,0.886990904866413,0.099607229958622,0.16382995975804612,0.0031739906059892998,0.26202461988351855,2.8099999999999996,3.6499999999999995,0.19452778344771654
5000rpm_+220Nm,rs_+10pct,True,0.00027940791336535515,0.0003549095484160753,0.050618590627724794,1.7739818097336817,0.19921445991751122,0.32765991951642787,0.006347981211842206,0.5240492397672899,2.8699999999999997,3.6499999999999995,0.19448096587196137
5000rpm_+220Nm,rs_+20pct,True,0.0005588158267314541,0.0007098190968330693,0.10123718125525552,3.547963619471772,0.39842891983555273,0.6553198390337038,0.012695962423660074,1.048098479535882,3.09,3.6499999999999995,0.1943873664173892
5000rpm_+220Nm,rr_-20pct,True,0.00033709268958802323,0.00048412016152715704,1.6238512313445879,3.2502898928835005,0.24034300707370712,0.446949860521373,0.20364409556982574,0.9601631414950154,2.6999999999999997,nan,0.19468646562673428
5000rpm_+220Nm,rr_-10pct,True,0.00016854120655655896,0.00024192948872550727,0.8119256156722447,1.623902690910024,0.12016784003574965,0.22335436495926003,0.10182204778490671,0.4797145979502525,2.7199999999999998,3.42,0.194630739302359
5000rpm_+220Nm,rr_-5pct,True,8.426920547424182e-05,0.0001209319399225269,0.40596280783620387,0.811639974120422,0.06008292340051678,0.11164689673417051,0.050911023892463575,0.23976531724775907,2.7399999999999998,3.5199999999999996,0.19460272605662582
