method,operating_point,case,stable,psi_r_rms_wb,psi_r_rel_pct,is_rms_a,is_rel_pct,psi_r_conv_time_ms,is_conv_time_ms
D1_kubota_k1p2_t_type,5000rpm_+220Nm,nominal,True,5.1683640666921526e-11,4.771541824337247e-08,7.715533036762534e-07,9.67590328954953e-08,18.22,33.73
C_sled23_t_type,5000rpm_+220Nm,nominal,True,1.1102230246251565e-15,1.0249811212954308e-12,6.3106436161815845e-12,7.914058177710511e-13,6.55,9.69
A_four_pole_sylvester,5000rpm_+220Nm,nominal,True,7.0582821341116e-16,6.516353719725662e-13,1.1713947778171886e-12,1.4690239196744348e-13,2.75,3.6399999999999997
B_hori53_paper,5000rpm_+220Nm,nominal,True,2.5422966611163745e-16,2.347101460318288e-13,5.684341886080802e-14,7.128625085575704e-15,1.7799999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_+220Nm,rs_-20pct,True,0.0008210347897312337,0.7579964932590083,19.500523450142357,2.4455235704407428,25.4,nan
C_sled23_t_type,5000rpm_+220Nm,rs_-20pct,True,0.0005671250699693375,0.5235817283902777,2.953001583807786,0.3703303142202609,5.8,nan
A_four_pole_sylvester,5000rpm_+220Nm,rs_-20pct,True,0.0007150300295810795,0.6601306811551361,0.06481187981313544,0.008127934623541524,2.6999999999999997,3.6299999999999994
B_hori53_paper,5000rpm_+220Nm,rs_-20pct,True,0.0007206389888095714,0.6653089896497388,4.547473508864641e-13,5.702900068460563e-14,1.92,0.0
D1_kubota_k1p2_t_type,5000rpm_+220Nm,rs_-10pct,True,0.0004101399326803819,0.3786497656438937,9.707838434757415,1.2174415610395584,18.779999999999998,nan
C_sled23_t_type,5000rpm_+220Nm,rs_-10pct,True,0.0002838557378651158,0.262061555227933,1.4749449549553881,0.18497004255645916,6.129999999999999,nan
A_four_pole_sylvester,5000rpm_+220Nm,rs_-10pct,True,0.0003575166962660137,0.33006689295090064,0.03242360063376387,0.00406618210999091,2.6999999999999997,3.6399999999999997
B_hori53_paper,5000rpm_+220Nm,rs_-10pct,True,0.0003603194944048352,0.33265449482491505,2.2737367544323206e-13,2.8514500342302815e-14,1.8199999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_+220Nm,rs_-5pct,True,0.00020498424732225487,0.1892457452314162,4.843495016183076,0.6074135012668858,18.54,nan
C_sled23_t_type,5000rpm_+220Nm,rs_-5pct,True,0.00014200061449295975,0.13109793783710738,0.7370813296443343,0.09243596817211919,6.33,10.19
A_four_pole_sylvester,5000rpm_+220Nm,rs_-5pct,True,0.00017875876720270422,0.16503383336936153,0.01621625678145764,0.0020336499317450242,2.7199999999999998,3.6399999999999997
B_hori53_paper,5000rpm_+220Nm,rs_-5pct,True,0.0001801597472024672,0.16632724741250335,5.684341886080802e-14,7.128625085575704e-15,1.79,0.0
D1_kubota_k1p2_t_type,5000rpm_+220Nm,rs_+5pct,True,0.0002048298602769997,0.18910321188158538,4.822998342352771,0.6048430523712034,15.35,nan
C_sled23_t_type,5000rpm_+220Nm,rs_+5pct,True,0.00014214498876652382,0.13123122718665395,0.7362946539877953,0.0923373126737026,6.789999999999999,10.549999999999999
A_four_pole_sylvester,5000rpm_+220Nm,rs_+5pct,True,0.00017875960268119438,0.1650346047005812,0.0162252528917779,0.0020347781168364005,2.7999999999999994,3.6399999999999997
B_hori53_paper,5000rpm_+220Nm,rs_+5pct,True,0.00018015974720228108,0.16632724741233149,4.582862941503293e-13,5.747281283089812e-14,1.7799999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_+220Nm,rs_+10pct,True,0.00040952248599191034,0.3780797259446149,9.625846764692485,1.2071591415836784,15.209999999999997,nan
C_sled23_t_type,5000rpm_+220Nm,rs_+10pct,True,0.00028443322973172036,0.26259470779984184,1.4717982502247782,0.18457542029887725,7.079999999999999,nan
A_four_pole_sylvester,5000rpm_+220Nm,rs_+10pct,True,0.000357520038134891,0.33006997823415735,0.032459585566162116,0.004070694911946489,2.8499999999999996,3.6399999999999997
B_hori53_paper,5000rpm_+220Nm,rs_+10pct,True,0.0003603194944046376,0.3326544948247327,5.684341886080802e-14,7.128625085575704e-15,1.79,0.0
D1_kubota_k1p2_t_type,5000rpm_+220Nm,rs_+20pct,True,0.0008185637060674846,0.7557151371275773,19.172438048424237,2.404379003984845,14.87,nan
